Snapshot,Index,Hotel Name,TTT,LOS,Grade,Num of Reviews,Curr Price,Original Price,Percentage of discount,Distance from center,Type of room,Location grade,Is refundable,Late payment,Breakfast included,Option Member
2023-03-06 17:53:54.545603,85,Courtyard New York Manhattan/ Midtown East,1,1,8.6,"(1,284 reviews)",The price is €356,The price was €724,0,0,0,0,False,False,,False
2023-03-06 17:53:54.549603,86,citizenM New York Times Square,1,1,9.0,"(1,282 reviews)",The price is €283,,0,0,0,0,True,False,,False
2023-03-06 17:53:54.555117,87,"The Pierre, A Taj Hotel, New York",1,1,9.2,(989 reviews),The price is €753,,0,0,0,0,True,False,,False
2023-03-06 17:53:54.557263,88,"Moxy NYC East Village, a Marriott Hotel",1,1,8.8,(896 reviews),The price is €376,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.559258,89,Virgin Hotels New York City,1,1,8.4,(11 reviews),The price is €489,,0,0,0,0,False,False,Pool,True
2023-03-06 17:53:54.559258,90,"Club Quarters Hotel, World Trade Center",1,1,8.6,"(1,104 reviews)",The price is €207,,0,0,0,0,True,False,,True
2023-03-06 17:53:54.563299,91,Omni Berkshire Place,1,1,9.0,"(1,009 reviews)",The price is €420,The price was €488,0,0,0,0,False,False,,False
2023-03-06 17:53:54.563299,92,Pendry Manhattan West,1,1,9.6,(102 reviews),The price is €807,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.568379,93,Hyatt Centric Times Square New York,1,1,9.0,"(1,023 reviews)",The price is €421,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.568379,94,Sofitel New York,1,1,8.8,"(1,009 reviews)",The price is €399,The price was €418,0,0,0,0,False,False,,False
2023-03-06 17:53:54.573990,95,Hotel Hendricks,1,1,8.2,"(1,007 reviews)",The price is €358,,0,0,0,0,False,False,,True
2023-03-06 17:53:54.574988,96,The Hotel @ Fifth Avenue,1,1,7.4,"(1,001 reviews)",The price is €248,,0,0,0,0,True,False,,True
2023-03-06 17:53:54.579037,97,"The Lexington Hotel, Autograph Collection",1,1,8.2,"(1,008 reviews)",The price is €542,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.579037,98,Ink 48 Hotel,1,1,8.2,"(1,002 reviews)",The price is €358,,0,0,0,0,False,False,,True
2023-03-06 17:53:54.579037,99,The Evelyn Hotel,1,1,8.4,"(1,004 reviews)",The price is €372,,0,0,0,0,True,False,Breakfast included,True
2023-03-06 17:53:54.584514,100,The Pearl New York,1,1,9.2,"(1,007 reviews)",The price is €448,,0,0,0,0,True,False,,False
2023-03-06 17:53:54.584514,101,"Club Quarters Hotel, Grand Central",1,1,8.2,"(1,150 reviews)",The price is €337,,0,0,0,0,True,False,,True
2023-03-06 17:53:54.590583,102,JW Marriott Essex House New York,1,1,8.6,(999 reviews),The price is €769,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.593275,103,"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",1,1,9.2,"(1,236 reviews)",The price is €304,,0,0,0,0,True,False,,True
2023-03-06 17:53:54.597251,104,Archer Hotel New York,1,1,9.0,"(1,010 reviews)",The price is €323,,0,0,0,0,False,False,,False
