Breakfast included_booking,Cancel Later_booking,Discount_booking,Discount_expedia,Distance from center_booking,Extras included_expedia,Free Cancellation_booking,Friday,Grade_booking,Grade_expedia,Index_booking,Index_expedia,Is refundable_expedia,LOS,Late payment_expedia,Location grade_booking,Monday,Late payment_booking,Num of Reviews_booking,Num of Reviews_expedia,Option Member_expedia,TTT,Wednesday,Diff_B-E
0,1,0,0,6900,0,1,0,8.6,8.8,11,58,0,2,0,0,0,0,282,301.0,1,22,1,-313.1199999999999
0,1,0,1,6900,0,1,0,8.6,8.8,5,49,1,3,0,0,0,0,282,301.0,1,22,1,-398.0999999999999
0,1,0,1,6900,0,1,0,8.6,8.8,5,30,1,4,0,0,0,0,282,301.0,1,22,1,-492.1200000000001
0,1,0,0,6900,0,1,0,8.6,8.8,7,49,0,1,0,0,0,0,282,301.0,1,23,1,-157.97000000000003
0,1,0,0,6900,0,1,0,8.6,8.8,5,58,0,2,0,0,0,0,282,301.0,1,23,1,-326.5799999999999
0,1,0,1,6900,0,1,0,8.6,8.8,6,30,1,3,0,0,0,0,282,301.0,1,23,1,-369.68000000000006
0,1,0,1,6900,0,1,0,8.6,8.8,6,30,1,4,0,0,0,0,282,301.0,1,23,1,-486.5600000000002
0,1,0,0,6900,0,1,0,8.6,8.8,3,31,0,1,0,0,0,0,282,301.0,1,24,1,-161.06000000000006
0,1,0,0,6900,0,1,0,8.6,8.8,6,31,0,2,0,0,0,0,282,301.0,1,24,1,-308.17999999999995
0,1,0,1,6900,0,1,0,8.6,8.8,8,9,1,3,0,0,0,0,282,301.0,1,24,1,-377.6700000000001
0,1,0,1,6900,0,1,0,8.6,8.8,5,8,1,4,0,0,0,0,282,301.0,1,24,1,-471.1500000000001
0,1,0,0,6900,0,1,0,8.6,8.8,6,8,0,1,0,0,0,1,282,301.0,1,25,1,-146.56
0,1,0,0,6900,0,1,0,8.6,8.8,6,9,0,2,0,0,0,1,282,301.0,1,25,1,-309.83000000000004
0,1,0,1,6900,0,1,0,8.6,8.8,4,8,1,3,0,0,0,0,282,301.0,1,25,1,-349.6400000000001
0,1,0,1,6900,0,1,0,8.6,8.8,5,8,1,4,0,0,0,0,282,301.0,1,25,1,-497.5999999999999
0,1,0,0,6900,0,1,0,8.6,8.8,5,8,0,1,0,0,0,1,282,301.0,1,26,1,-163.27000000000004
0,1,0,0,6900,0,1,0,8.6,8.8,5,9,0,2,0,0,0,0,282,301.0,1,26,1,-313.1199999999999
0,1,0,1,6900,0,1,0,8.6,8.8,4,8,1,3,0,0,0,0,282,301.0,1,26,1,-389.54
0,1,0,1,6900,0,1,0,8.6,8.8,4,8,1,4,0,0,0,0,282,301.0,1,26,1,-505.8499999999999
0,1,0,0,6900,0,1,0,8.6,8.8,5,7,0,1,0,0,0,1,282,301.0,1,27,1,-175.29999999999995
0,1,0,0,6900,0,1,0,8.6,8.8,4,9,0,2,0,0,0,1,282,301.0,1,27,1,-349.49
0,1,0,1,6900,0,1,0,8.6,8.8,4,9,1,3,0,0,0,0,282,301.0,1,27,1,-387.79
0,1,0,1,6900,0,1,0,8.6,8.8,6,8,1,4,0,0,0,0,282,301.0,1,27,1,-397.75
0,1,0,0,6900,0,1,0,8.6,8.8,6,7,0,1,0,0,0,1,282,301.0,1,28,1,-175.29999999999995
0,1,0,0,6900,0,1,0,8.6,8.8,6,9,0,2,0,0,0,1,282,301.0,1,28,1,-352.84000000000015
0,1,0,1,6900,0,1,0,8.6,8.8,5,9,1,3,0,0,0,0,282,301.0,1,28,1,-410.25
